Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
GCF_013393865.1_ASM1339386v1_genomic	2	2	2	2	2	2	5521375	5521375	5521375	5521375	5521375	5521375	2	3589443	5521375	45.03	3589443	1931932	1	2	0.02
GCF_013393845.1_ASM1339384v1_genomic	2	2	2	2	2	2	5310635	5310635	5310635	5310635	5310635	5310635	2	3478693	5310635	45.17	3478693	1831942	1	2	0.00
GCF_013393885.1_ASM1339388v1_genomic	2	2	2	2	2	2	5107724	5107724	5107724	5107724	5107724	5107724	2	3325904	5107724	45.41	3325904	1781820	1	2	0.00
GCF_009883895.1_ASM988389v1_genomic	4	4	4	4	3	3	5456849	5456849	5456849	5456849	5446776	5446776	4	3491101	5456849	45.20	3491101	1886547	1	2	0.00
GCF_009883835.1_ASM988383v1_genomic	5	5	5	5	5	5	5563056	5563056	5563056	5563056	5563056	5563056	5	3421899	5563056	45.27	3421899	1872065	1	2	0.00
GCF_009883855.1_ASM988385v1_genomic	4	4	4	4	4	4	5420599	5420599	5420599	5420599	5420599	5420599	4	3358530	5420599	45.34	3358530	1884380	1	2	0.00
GCF_009883815.1_ASM988381v1_genomic	4	4	4	4	4	4	5347867	5347867	5347867	5347867	5347867	5347867	4	3338799	5347867	45.35	3338799	1833822	1	2	0.00
GCF_009764055.1_ASM976405v1_genomic	3	3	3	3	3	3	5425729	5425729	5425729	5425729	5425729	5425729	3	3535345	5425729	45.19	3535345	1811450	1	2	0.00
GCF_009763565.1_ASM976356v1_genomic	2	2	2	2	2	2	5292073	5292073	5292073	5292073	5292073	5292073	2	3418724	5292073	45.26	3418724	1873349	1	2	0.00
GCF_009763605.1_ASM976360v1_genomic	2	2	2	2	2	2	5170591	5170591	5170591	5170591	5170591	5170591	2	3397332	5170591	45.30	3397332	1773259	1	2	0.00
GCF_009763445.1_ASM976344v1_genomic	2	2	2	2	2	2	5087213	5087213	5087213	5087213	5087213	5087213	2	3332037	5087213	45.39	3332037	1755176	1	2	0.00
