All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    GCF_013393865.1_ASM1339386v1_genomic  GCF_013393845.1_ASM1339384v1_genomic  GCF_013393885.1_ASM1339388v1_genomic  GCF_009883895.1_ASM988389v1_genomic  GCF_009883835.1_ASM988383v1_genomic  GCF_009883855.1_ASM988385v1_genomic  GCF_009883815.1_ASM988381v1_genomic  GCF_009764055.1_ASM976405v1_genomic  GCF_009763565.1_ASM976356v1_genomic  GCF_009763605.1_ASM976360v1_genomic  GCF_009763445.1_ASM976344v1_genomic  GCF_009763165.1_ASM976316v1_genomic  GCF_009763525.1_ASM976352v1_genomic  GCF_009763505.1_ASM976350v1_genomic  GCF_009764075.1_ASM976407v1_genomic  GCF_009763025.1_ASM976302v1_genomic  GCF_009763405.1_ASM976340v1_genomic  GCF_009763425.1_ASM976342v1_genomic  GCF_009763545.1_ASM976354v1_genomic  GCF_009734325.1_ASM973432v1_genomic  GCF_009665495.1_ASM966549v1_genomic  GCF_009649015.1_ASM964901v1_genomic  GCF_008693745.1_ASM869374v1_genomic  GCF_001996365.2_ASM199636v2_genomic  GCF_006517795.1_ASM651779v1_genomic  GCF_004194515.1_ASM419451v1_genomic  GCF_003691525.1_ASM369152v1_genomic  GCF_003612695.1_ASM361269v1_genomic  GCF_003612715.1_ASM361271v1_genomic  GCF_003351885.1_ASM335188v1_genomic  GCF_003076895.1_ASM307689v1_genomic  GCF_003085735.1_ASM308573v1_genomic  GCF_002220985.3_HGAP_genomic  GCF_002209725.2_ASM220972v2_genomic  GCF_002073775.2_ASM207377v2_genomic  GCF_001879585.1_ASM187958v1_genomic  GCF_001758605.1_ASM175860v1_genomic  GCF_001700835.1_ASM170083v1_genomic  GCF_001636035.1_ASM163603v1_genomic  GCF_001558495.2_ASM155849v2_genomic  GCF_001433415.1_ASM143341v1_genomic  GCF_000568495.1_ASM56849v1_genomic  GCF_000430405.1_ASM43040v1_genomic  GCF_000430425.1_ASM43042v1_genomic  GCF_000328405.1_ASM32840v1_genomic  GCF_000196095.1_ASM19609v1_genomic
# contigs (>= 0 bp)         2                                     2                                     2                                     4                                    5                                    4                                    4                                    3                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    4                                    2                                    2                                    2                                    3                                    2                                    4                                    3                                    2                                    2                                    4                                    5                                    4                                    2                             2                                    2                                    3                                    2                                    5                                    3                                    2                                    3                                    3                                   2                                   2                                   2                                   2                                 
# contigs (>= 1000 bp)      2                                     2                                     2                                     4                                    5                                    4                                    4                                    3                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    4                                    2                                    2                                    2                                    3                                    2                                    4                                    3                                    2                                    2                                    4                                    5                                    4                                    2                             2                                    2                                    3                                    2                                    5                                    3                                    2                                    3                                    3                                   2                                   2                                   2                                   2                                 
# contigs (>= 5000 bp)      2                                     2                                     2                                     4                                    5                                    4                                    4                                    3                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    4                                    2                                    2                                    2                                    3                                    2                                    4                                    3                                    2                                    2                                    4                                    5                                    4                                    2                             2                                    2                                    3                                    2                                    5                                    3                                    2                                    3                                    3                                   2                                   2                                   2                                   2                                 
# contigs (>= 10000 bp)     2                                     2                                     2                                     4                                    5                                    4                                    4                                    3                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    4                                    2                                    2                                    2                                    3                                    2                                    4                                    3                                    2                                    2                                    4                                    5                                    4                                    2                             2                                    2                                    3                                    2                                    4                                    3                                    2                                    3                                    3                                   2                                   2                                   2                                   2                                 
# contigs (>= 25000 bp)     2                                     2                                     2                                     3                                    5                                    4                                    4                                    3                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    4                                    2                                    2                                    2                                    3                                    2                                    4                                    3                                    2                                    2                                    4                                    4                                    4                                    2                             2                                    2                                    3                                    2                                    4                                    3                                    2                                    3                                    3                                   2                                   2                                   2                                   2                                 
# contigs (>= 50000 bp)     2                                     2                                     2                                     3                                    5                                    4                                    4                                    3                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    4                                    2                                    2                                    2                                    3                                    2                                    4                                    3                                    2                                    2                                    4                                    4                                    3                                    2                             2                                    2                                    3                                    2                                    4                                    3                                    2                                    3                                    3                                   2                                   2                                   2                                   2                                 
Total length (>= 0 bp)      5521375                               5310635                               5107724                               5456849                              5563056                              5420599                              5347867                              5425729                              5292073                              5170591                              5087213                              5160547                              5158934                              5158348                              5144797                              5128087                              5136309                              5088684                              5129940                              5579380                              5397131                              5144090                              5154108                              5389211                              5383500                              5286292                              5396107                              5188238                              5173301                              5580188                              5444136                              5404824                              5249405                       5257294                              5173292                              5339691                              5015214                              5443401                              5289960                              5152461                              5171661                              5232572                             5223562                             5138575                             5103524                             5165770                           
Total length (>= 1000 bp)   5521375                               5310635                               5107724                               5456849                              5563056                              5420599                              5347867                              5425729                              5292073                              5170591                              5087213                              5160547                              5158934                              5158348                              5144797                              5128087                              5136309                              5088684                              5129940                              5579380                              5397131                              5144090                              5154108                              5389211                              5383500                              5286292                              5396107                              5188238                              5173301                              5580188                              5444136                              5404824                              5249405                       5257294                              5173292                              5339691                              5015214                              5443401                              5289960                              5152461                              5171661                              5232572                             5223562                             5138575                             5103524                             5165770                           
Total length (>= 5000 bp)   5521375                               5310635                               5107724                               5456849                              5563056                              5420599                              5347867                              5425729                              5292073                              5170591                              5087213                              5160547                              5158934                              5158348                              5144797                              5128087                              5136309                              5088684                              5129940                              5579380                              5397131                              5144090                              5154108                              5389211                              5383500                              5286292                              5396107                              5188238                              5173301                              5580188                              5444136                              5404824                              5249405                       5257294                              5173292                              5339691                              5015214                              5443401                              5289960                              5152461                              5171661                              5232572                             5223562                             5138575                             5103524                             5165770                           
Total length (>= 10000 bp)  5521375                               5310635                               5107724                               5456849                              5563056                              5420599                              5347867                              5425729                              5292073                              5170591                              5087213                              5160547                              5158934                              5158348                              5144797                              5128087                              5136309                              5088684                              5129940                              5579380                              5397131                              5144090                              5154108                              5389211                              5383500                              5286292                              5396107                              5188238                              5173301                              5580188                              5444136                              5404824                              5249405                       5257294                              5173292                              5339691                              5015214                              5435759                              5289960                              5152461                              5171661                              5232572                             5223562                             5138575                             5103524                             5165770                           
